czas [s] - wielkoœæ 1	Wartosc 1 - wielkoœæ 1	czas [s] - wielkoœæ 2	Wartosæ 2 - wielkoœæ 2
1	1.28	1	57.0586
1	1.17	1	50.4749
1	1.11	1	57.0586
1	1.12	1	60.3504
1	1.15	1	55.9613
1	1.27	1	53.7667
1	1.55	1	58.1558
1	0.73	1	55.9613
1	1.28	1	52.6694
1	1.3	1	55.9613
2	1.27	2	58.1558
2	1.35	2	55.9613
2	1.23	2	50.4749
2	1.19	2	46.0858
2	1.19	2	53.7667
2	1.2	2	55.9613
2	1.27	2	55.9613
2	1.39	2	54.864
2	1.2	2	55.9613
2	1.38	2	54.864
3	1.41	3	61.4477
3	1.28	3	61.4477
3	1.27	3	61.4477
3	1.31	3	57.0586
3	1.14	3	62.545
3	1.32	3	62.545
3	1.29	3	61.4477
3	1	3	59.2531
3	1.25	3	55.9613
3	1.68	3	61.4477
4	1.06	4	64.7395
4	1.12	4	61.4477
4	1.65	4	60.3504
4	1.24	4	63.6422
4	1.58	4	60.3504
4	1.19	4	59.2531
4	1.08	4	59.2531
4	1.09	4	54.864
4	1.18	4	51.5722
4	1.01	4	58.1558
5	0.88	5	58.1558
5	0.88	5	54.864
5	1.09	5	53.7667
5	1.1	5	52.6694
5	1.1	5	47.183
5	0.98	5	44.9885
5	0.93	5	44.9885
5	0.98	5	47.183
5	1.19	5	51.5722
5	1.32	5	55.9613
6	1.14	6	54.864
6	1.13	6	57.0586
6	1.19	6	58.1558
6	1.32	6	55.9613
6	1.43	6	60.3504
6	1.52	6	64.7395
6	1.4	6	65.8368
6	1.56	6	64.7395
6	1.62	6	65.8368
6	1.77	6	63.6422
7	1.67	7	64.7395
7	1.73	7	71.3232
7	1.68	7	68.0314
7	1.59	7	75.7123
7	1.86	7	76.8096
7	2.23	7	75.7123
7	2.18	7	79.0042
7	2	7	80.1014
7	1.14	7	80.1014
7	1.01	7	80.1014
8	1.09	8	82.296
8	0.98	8	85.5878
8	0.87	8	85.5878
8	1.14	8	86.6851
8	1.34	8	86.6851
8	1.2	8	89.977
8	1.19	8	92.1715
8	1.26	8	92.1715
8	1.32	8	93.2688
8	1.94	8	95.4634
9	1.88	9	93.2688
9	1.68	9	93.2688
9	1.36	9	94.3661
9	1.14	9	95.4634
9	1.27	9	95.4634
9	1.3	9	95.4634
9	1.33	9	95.4634
9	1.32	9	93.2688
9	0.88	9	93.2688
9	1.15	9	93.2688
10	1.21	10	94.3661
10	1.26	10	93.2688
10	1.82	10	88.8797
10	1.53	10	86.6851
10	1.05	10	85.5878
10	0.98	10	83.3933
10	1.13	10	85.5878
10	0.93	10	81.1987
10	0.97	10	76.8096
10	0.89	10	74.615
11	0.73	11	73.5178
11	0.81	11	72.4205
11	0.99	11	70.2259
11	0.94	11	70.2259
11	0.69	11	73.5178
11	0.74	11	70.2259
11	0.71	11	73.5178
11	1.02	11	69.1286
11	0.91	11	73.5178
11	0.93	11	75.7123
12	0.95	12	75.7123
12	1.02	12	74.615
12	1.13	12	72.4205
12	1.04	12	72.4205
12	0.85	12	74.615
12	0.91	12	74.615
12	1.14	12	76.8096
12	1.3	12	75.7123
12	1.63	12	76.8096
12	1.27	12	75.7123
13	1.41	13	77.9069
13	1.54	13	76.8096
13	1.45	13	79.0042
13	1.37	13	79.0042
13	1.17	13	75.7123
13	1.13	13	76.8096
13	1.53	13	77.9069
13	1.5	13	79.0042
13	1.43	13	80.1014
13	1.49	13	80.1014
14	1.52	14	79.0042
14	1.26	14	76.8096
14	1.08	14	75.7123
14	1.15	14	70.2259
14	0.8	14	72.4205
14	0.55	14	75.7123
14	1.2	14	72.4205
14	1.29	14	74.615
14	1.37	14	76.8096
14	1.47	14	76.8096
15	1.45	15	74.615
15	1.4	15	76.8096
15	1.44	15	76.8096
15	1.23	15	75.7123
15	1.26	15	79.0042
15	1.86	15	81.1987
15	1.66	15	79.0042
15	1.33	15	79.0042
15	1.42	15	77.9069
15	1.34	15	79.0042
16	1.48	16	81.1987
16	1.45	16	80.1014
16	1.18	16	77.9069
16	1.23	16	76.8096
16	1.22	16	76.8096
16	1.33	16	75.7123
16	1.33	16	74.615
16	1.22	16	77.9069
16	1.29	16	75.7123
16	1.17	16	76.8096
17	1.28	17	79.0042
17	1.14	17	81.1987
17	1.2	17	83.3933
17	1.3	17	86.6851
17	1.11	17	87.7824
17	1.38	17	89.977
17	1.26	17	91.0742
17	1.3	17	93.2688
17	1.46	17	94.3661
17	1.45	17	96.5606
18	1.52	18	98.7552
18	1.61	18	95.4634
18	1.87	18	95.4634
18	1.88	18	99.8525
18	2.03	18	100.95
18	1.85	18	100.95
18	2.03	18	103.144
18	1.79	18	104.242
18	1.78	18	105.339
18	1.93	18	100.95
19	1.75	19	104.242
19	1.2	19	100.95
19	1.49	19	103.144
19	1.41	19	103.144
19	1.6	19	103.144
19	1.3	19	102.047
19	1.42	19	103.144
19	1.35	19	102.047
19	1.22	19	97.6579
19	1.04	19	95.4634
20	1.15	20	95.4634
20	1.34	20	95.4634
20	1.3	20	94.3661
20	1.11	20	95.4634
20	1.15	20	94.3661
20	1.23	20	93.2688
20	1.53	20	93.2688
20	1.59	20	92.1715
20	1.55	20	92.1715
20	1.75	20	92.1715
21	1.55	21	95.4634
21	1.79	21	96.5606
21	1.63	21	93.2688
21	1.54	21	92.1715
21	1.4	21	89.977
21	1.28	21	88.8797
21	1.16	21	85.5878
21	1.37	21	86.6851
21	1.36	21	87.7824
21	1.24	21	91.0742
22	1.69	22	88.8797
22	1.42	22	86.6851
22	1.42	22	83.3933
22	1.21	22	85.5878
22	1.16	22	86.6851
22	1.12	22	83.3933
22	1.18	22	82.296
22	1.04	22	82.296
22	1.02	22	83.3933
22	1.02	22	82.296
23	1.56	23	77.9069
23	1.58	23	80.1014
23	1.2	23	76.8096
23	1	23	76.8096
23	0.85	23	80.1014
23	1.37	23	76.8096
23	1.02	23	75.7123
23	0.36	23	88.8797
23	1.08	23	81.1987
23	1.61	23	83.3933
24	1.38	24	84.4906
24	1.88	24	84.4906
24	1.91	24	85.5878
24	1.31	24	87.7824
24	1.35	24	87.7824
24	1.43	24	86.6851
24	1.34	24	87.7824
24	1.41	24	88.8797
24	1.33	24	86.6851
24	1.41	24	85.5878
25	1.55	25	86.6851
25	1.54	25	85.5878
25	1.29	25	88.8797
25	1.51	25	88.8797
25	1.32	25	87.7824
25	1.33	25	87.7824
25	1.41	25	88.8797
25	1.4	25	87.7824
25	1.35	25	87.7824
25	1.27	25	89.977
26	1.34	26	92.1715
26	1.47	26	89.977
26	1.45	26	92.1715
26	1.48	26	92.1715
26	1.4	26	94.3661
26	1.43	26	95.4634
26	1.18	26	94.3661
26	1.21	26	98.7552
26	1.31	26	99.8525
26	1.24	26	99.8525
27	0.95	27	98.7552
27	0.81	27	102.047
27	1.07	27	103.144
27	1.3	27	104.242
27	1.6	27	106.436
27	1.68	27	105.339
27	1.38	27	108.631
27	1.2	27	106.436
27	1.15	27	106.436
27	1.2	27	109.728
28	1.38	28	113.02
28	1.52	28	108.631
28	1.52	28	113.02
28	1.44	28	110.825
28	1.09	28	113.02
28	1.32	28	114.117
28	1.49	28	117.409
28	1.38	28	111.923
28	1.24	28	114.117
28	1.12	28	113.02
29	0.91	29	109.728
29	1.13	29	109.728
29	1.21	29	107.533
29	1.06	29	104.242
29	1.01	29	104.242
29	1.12	29	105.339
29	1.18	29	107.533
29	0.94	29	106.436
29	1.13	29	102.047
29	1.35	29	103.144
30	1.73	30	104.242
30	1.86	30	104.242
30	1.75	30	104.242
30	1.85	30	106.436
30	1.51	30	102.047
30	1.44	30	98.7552
30	1.29	30	98.7552
30	1.39	30	97.6579
30	1.49	30	95.4634
30	1.61	30	94.3661
31	1.66	31	94.3661
31	1.38	31	92.1715
31	1.56	31	92.1715
31	1.43	31	93.2688
31	1.24	31	93.2688
31	1.32	31	91.0742
31	1.59	31	91.0742
31	1.63	31	93.2688
31	1.67	31	93.2688
31	1.53	31	96.5606
32	1.68	32	99.8525
32	1.85	32	103.144
32	1.61	32	102.047
32	1.57	32	102.047
32	1.91	32	103.144
32	1.66	32	98.7552
32	1.54	32	97.6579
32	1.49	32	96.5606
32	1.28	32	93.2688
32	1.27	32	89.977
33	1.1	33	88.8797
33	1.11	33	95.4634
33	1.44	33	99.8525
33	1.44	33	105.339
33	1.35	33	106.436
33	1.64	33	105.339
33	1.54	33	105.339
33	1.57	33	104.242
33	1.68	33	104.242
33	1.72	33	103.144
34	1.53	34	103.144
34	1.82	34	103.144
34	1.87	34	104.242
34	1.85	34	99.8525
34	2.18	34	98.7552
34	1.84	34	98.7552
34	2.08	34	100.95
34	2.09	34	100.95
34	2.05	34	100.95
34	1.94	34	102.047
35	1.67	35	99.8525
35	1.25	35	99.8525
35	0.94	35	98.7552
35	0.97	35	94.3661
35	0.89	35	95.4634
35	1.04	35	94.3661
35	0.95	35	96.5606
35	0.94	35	97.6579
35	1.19	35	98.7552
35	1.16	35	98.7552
36	1.04	36	96.5606
36	0.87	36	94.3661
36	0.79	36	95.4634
36	1.09	36	94.3661
36	1.3	36	95.4634
36	1.14	36	99.8525
36	1.13	36	99.8525
36	1.18	36	98.7552
36	1.3	36	97.6579
36	1.24	36	95.4634
37	1.13	37	96.5606
37	1.11	37	96.5606
37	1.23	37	97.6579
37	1.24	37	95.4634
37	1.16	37	95.4634
37	1.21	37	98.7552
37	1.26	37	94.3661
37	1.24	37	95.4634
37	1.2	37	93.2688
37	1.14	37	92.1715
38	1.36	38	91.0742
38	1.18	38	91.0742
38	1.21	38	92.1715
38	1.36	38	89.977
38	0.89	38	89.977
38	1.43	38	89.977
38	1.42	38	91.0742
38	1.11	38	87.7824
38	1.09	38	87.7824
38	1.07	38	87.7824
39	1.19	39	86.6851
39	1.17	39	87.7824
39	1.06	39	86.6851
39	1.16	39	86.6851
39	1.21	39	87.7824
39	1.21	39	88.8797
39	1.2	39	88.8797
39	1.37	39	89.977
39	1.47	39	89.977
39	1.38	39	91.0742
40	1.39	40	92.1715
40	1.38	40	92.1715
40	1.47	40	93.2688
40	1.48	40	94.3661
40	1.47	40	95.4634
40	1.62	40	95.4634
40	1.7	40	97.6579
40	1.81	40	100.95
40	1.76	40	100.95
40	1.7	40	102.047
41	1.47	41	100.95
41	1.34	41	103.144
41	1.53	41	105.339
41	1.61	41	106.436
41	1.48	41	106.436
41	1.54	41	108.631
41	1.86	41	110.825
41	1.96	41	111.923
41	1.86	41	110.825
41	1.82	41	114.117
42	1.96	42	114.117
42	1.97	42	113.02
42	2.06	42	115.214
42	1.83	42	115.214
42	1.66	42	116.312
42	1.75	42	117.409
42	1.72	42	120.701
42	1.49	42	120.701
42	1.14	42	120.701
42	1.14	42	118.506
43	1.69	43	115.214
43	2.15	43	115.214
43	2.06	43	117.409
43	1.69	43	116.312
43	1.36	43	117.409
43	1.11	43	115.214
43	1.08	43	110.825
43	1.51	43	107.533
43	1.26	43	106.436
43	0.75	43	105.339
44	0.95	44	102.047
44	0.88	44	99.8525
44	0.48	44	102.047
44	0.78	44	102.047
44	0.81	44	100.95
