"time [s]";"load factor";"airspeed [km/h]"
1.0;1.28;57.0586
1.1;1.17;50.4749
1.2;1.11;57.0586
1.3;1.12;60.3504
1.4;1.15;55.9613
1.5;1.27;53.7667
1.6;1.55;58.1558
1.7;0.73;55.9613
1.8;1.28;52.6694
1.9;1.3;55.9613
2.0;1.27;58.1558
2.1;1.35;55.9613
2.2;1.23;50.4749
2.3;1.19;46.0858
2.4;1.19;53.7667
2.5;1.2;55.9613
2.6;1.27;55.9613
2.7;1.39;54.864
2.8;1.2;55.9613
2.9;1.38;54.864
3.0;1.41;61.4477
3.1;1.28;61.4477
3.2;1.27;61.4477
3.3;1.31;57.0586
3.4;1.14;62.545
3.5;1.32;62.545
3.6;1.29;61.4477
3.7;1;59.2531
3.8;1.25;55.9613
3.9;1.68;61.4477
4.0;1.06;64.7395
4.1;1.12;61.4477
4.2;1.65;60.3504
4.3;1.24;63.6422
4.4;1.58;60.3504
4.5;1.19;59.2531
4.6;1.08;59.2531
4.7;1.09;54.864
4.8;1.18;51.5722
4.9;1.01;58.1558
5.0;0.88;58.1558
5.1;0.88;54.864
5.2;1.09;53.7667
5.3;1.1;52.6694
5.4;1.1;47.183
5.5;0.98;44.9885
5.6;0.93;44.9885
5.7;0.98;47.183
5.8;1.19;51.5722
5.9;1.32;55.9613
6.0;1.14;54.864
6.1;1.13;57.0586
6.2;1.19;58.1558
6.3;1.32;55.9613
6.4;1.43;60.3504
6.5;1.52;64.7395
6.6;1.4;65.8368
6.7;1.56;64.7395
6.8;1.62;65.8368
6.9;1.77;63.6422
7.0;1.67;64.7395
7.1;1.73;71.3232
7.2;1.68;68.0314
7.3;1.59;75.7123
7.4;1.86;76.8096
7.5;2.23;75.7123
7.6;2.18;79.0042
7.7;2;80.1014
7.8;1.14;80.1014
7.9;1.01;80.1014
8.0;1.09;82.296
8.1;0.98;85.5878
8.2;0.87;85.5878
8.3;1.14;86.6851
8.4;1.34;86.6851
8.5;1.2;89.977
8.6;1.19;92.1715
8.7;1.26;92.1715
8.8;1.32;93.2688
8.9;1.94;95.4634
9.0;1.88;93.2688
9.1;1.68;93.2688
9.2;1.36;94.3661
9.3;1.14;95.4634
9.4;1.27;95.4634
9.5;1.3;95.4634
9.6;1.33;95.4634
9.7;1.32;93.2688
9.8;0.88;93.2688
9.9;1.15;93.2688
10.0;1.21;94.3661
10.1;1.26;93.2688
10.2;1.82;88.8797
10.3;1.53;86.6851
10.4;1.05;85.5878
10.5;0.98;83.3933
10.6;1.13;85.5878
10.7;0.93;81.1987
10.8;0.97;76.8096
10.9;0.89;74.615
